2021-09-23 00:22:23 strips_hgn.utils.logging_setup INFO     Writing logs to /home/mat/Doctorado/planning_learned_heuristic/shen_fd_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-23T00:22:23.210530/strips_hgn.log
2021-09-23 00:22:23 strips_hgn.utils.helpers INFO     Experiment results directory: /home/mat/Doctorado/planning_learned_heuristic/shen_fd_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-23T00:22:23.210530
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks3/task01.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    3 Objects parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-3-9804-1
2021-09-23 00:22:23 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-3-9804-1
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    19 Variables created
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    24 Operators created
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks3/task02.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    3 Objects parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-3-9804-2
2021-09-23 00:22:23 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-3-9804-2
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    19 Variables created
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    24 Operators created
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks3/task03.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    3 Objects parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-3-9804-3
2021-09-23 00:22:23 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-3-9804-3
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    19 Variables created
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    24 Operators created
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks3/task04.pddl
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    3 Objects parsed
2021-09-23 00:22:23 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
